"No.","Time","Source","Destination","Protocol","Length","Info"
"14","17.952893","10.1.60.203","10.1.60.187","TCP","66","50398  >  80 [ACK] Seq=1 Ack=1 Win=66608 Len=0 TSval=297034190 TSecr=44609789"
"15","17.953768","10.1.60.203","10.1.60.187","HTTP","181","GET / HTTP/1.0 "
"16","17.954647","10.1.60.187","10.1.60.203","TCP","66","80  >  50398 [ACK] Seq=1 Ack=116 Win=5824 Len=0 TSval=44609791 TSecr=297034191"
"17","17.955647","10.1.60.187","10.1.60.203","HTTP","472","HTTP/1.1 302 Found  (text/html)"
"18","17.955771","10.1.60.187","10.1.60.203","TCP","66","80  >  50398 [FIN, ACK] Seq=407 Ack=116 Win=5824 Len=0 TSval=44609792 TSecr=297034191"
"19","17.956266","10.1.60.203","10.1.60.187","TCP","66","50398  >  80 [ACK] Seq=116 Ack=408 Win=66200 Len=0 TSval=297034193 TSecr=44609792"
"20","17.956891","10.1.60.203","10.1.60.187","TCP","66","50398  >  80 [FIN, ACK] Seq=116 Ack=408 Win=66608 Len=0 TSval=297034194 TSecr=44609792"
"21","17.957520","10.1.60.187","10.1.60.203","TCP","66","80  >  50398 [ACK] Seq=408 Ack=117 Win=5824 Len=0 TSval=44609794 TSecr=297034194"
"22","17.959015","10.1.60.203","10.1.60.73","TCP","74","50189  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297034196 TSecr=0"
"23","17.959894","10.1.60.73","10.1.60.203","TCP","74","5222  >  50189 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3101533695 TSecr=297034196"
"24","17.960264","10.1.60.203","10.1.60.73","TCP","66","50189  >  5222 [ACK] Seq=1 Ack=1 Win=66608 Len=0 TSval=297034197 TSecr=3101533695"
"25","17.960894","10.1.60.73","10.1.60.203","TCP","66","[TCP Window Update] 5222  >  50189 [ACK] Seq=1 Ack=1 Win=72400 Len=0 TSval=3101533696 TSecr=297034197"
"26","17.961263","10.1.60.203","10.1.60.73","XMPP/XML","162","STREAM > host "
"27","17.965017","10.1.60.73","10.1.60.203","XMPP/XML","244","STREAM < jabber.usma.bluenet "
"28","17.966510","10.1.60.203","10.1.60.73","XMPP/XML","83","STREAM END"
"29","17.966634","10.1.60.203","10.1.60.73","TCP","66","50189  >  5222 [FIN, ACK] Seq=114 Ack=179 Win=66608 Len=0 TSval=297034203 TSecr=3101533700"
"30","17.967265","10.1.60.73","10.1.60.203","TCP","66","5222  >  50189 [ACK] Seq=179 Ack=115 Win=72280 Len=0 TSval=3101533703 TSecr=297034203"
"31","17.967514","10.1.60.73","10.1.60.203","TCP","66","5222  >  50189 [FIN, ACK] Seq=179 Ack=115 Win=72280 Len=0 TSval=3101533703 TSecr=297034203"
"32","17.968259","10.1.60.203","10.1.60.73","TCP","66","50189  >  5222 [ACK] Seq=115 Ack=180 Win=66600 Len=0 TSval=297034205 TSecr=3101533703"
"33","17.976255","10.1.60.203","10.1.60.187","TCP","74","49592  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297034213 TSecr=0"
"34","17.977134","10.1.60.187","10.1.60.203","TCP","74","443  >  49592 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=44609814 TSecr=297034213 WS=64"
"35","17.977754","10.1.60.203","10.1.60.187","TCP","66","49592  >  443 [ACK] Seq=1 Ack=1 Win=66608 Len=0 TSval=297034215 TSecr=44609814"
"36","17.983001","10.1.60.203","10.1.60.187","SSLv2","202","Client Hello"
"37","17.983881","10.1.60.187","10.1.60.203","TCP","66","443  >  49592 [ACK] Seq=1 Ack=137 Win=6912 Len=0 TSval=44609820 TSecr=297034220"
"38","17.994874","10.1.60.187","10.1.60.203","TLSv1","1514","Server Hello, Certificate"
"39","17.994999","10.1.60.187","10.1.60.203","TLSv1","163","Server Key Exchange, Server Hello Done"
"40","17.995243","10.1.60.203","10.1.60.187","TCP","66","49592  >  443 [ACK] Seq=137 Ack=1546 Win=65056 Len=0 TSval=297034232 TSecr=44609824"
"41","18.002989","10.1.60.203","10.1.60.187","ICMP","98","Echo (ping) request  id=0x4a95, seq=0/0, ttl=64 (reply in 42)"
"42","18.003869","10.1.60.187","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4a95, seq=0/0, ttl=255 (request in 41)"
"43","18.006862","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x4b95, seq=0/0, ttl=64 (reply in 44)"
"44","18.007741","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4b95, seq=0/0, ttl=255 (request in 43)"
"45","18.012734","10.1.60.203","10.1.60.5","DNS","79","Standard query 0xc084 A jabber.usma.bluenet"
"46","18.015237","10.1.60.5","10.1.60.203","DNS","95","Standard query response 0xc084 A jabber.usma.bluenet A 10.1.60.73"
"47","18.015357","10.1.60.203","10.1.60.187","TLSv1","264","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"48","18.022359","10.1.60.187","10.1.60.203","TLSv1","125","Change Cipher Spec, Encrypted Handshake Message"
"49","18.023102","10.1.60.203","10.1.60.187","TLSv1","252","Application Data, Application Data"
"50","18.027355","10.1.60.187","10.1.60.203","TLSv1","1514","Application Data, Application Data"
"51","18.027475","10.1.60.203","10.1.60.73","ICMP","98","Echo (ping) request  id=0x5395, seq=0/0, ttl=64 (reply in 57)"
"52","18.027856","10.1.60.187","10.1.60.203","TLSv1","611","Application Data, Application Data, Application Data"
"53","18.027860","10.1.60.187","10.1.60.203","TLSv1","103","Encrypted Alert"
"54","18.027975","10.1.60.203","10.1.60.187","TCP","66","49592  >  443 [ACK] Seq=521 Ack=3598 Win=66056 Len=0 TSval=297034265 TSecr=44609862"
"55","18.027980","10.1.60.187","10.1.60.203","TCP","66","443  >  49592 [FIN, ACK] Seq=3635 Ack=521 Win=9024 Len=0 TSval=44609862 TSecr=297034260"
"56","18.028224","10.1.60.203","10.1.60.187","TCP","66","49592  >  443 [ACK] Seq=521 Ack=3636 Win=66024 Len=0 TSval=297034265 TSecr=44609862"
"57","18.028729","10.1.60.73","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5395, seq=0/0, ttl=255 (request in 51)"
"58","18.031348","10.1.60.203","10.1.60.187","TLSv1","103","Encrypted Alert"
"59","18.031472","10.1.60.203","10.1.60.187","TCP","66","49592  >  443 [FIN, ACK] Seq=558 Ack=3636 Win=66608 Len=0 TSval=297034268 TSecr=44609862"
"60","18.032352","10.1.60.187","10.1.60.203","TCP","66","443  >  49592 [ACK] Seq=3636 Ack=559 Win=9024 Len=0 TSval=44609869 TSecr=297034268"
"61","18.040717","10.1.60.203","10.1.60.25","ICMP","98","Echo (ping) request  id=0x5795, seq=0/0, ttl=64 (reply in 62)"
"62","18.041597","10.1.60.25","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5795, seq=0/0, ttl=255 (request in 61)"
"63","18.041717","10.1.60.203","10.1.60.25","TCP","74","60515  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297034278 TSecr=0"
"64","18.188890","Cisco_fb:3d:f0","Broadcast","ARP","60","Who has 10.1.60.1? Tell 10.1.60.132"
"65","18.189506","Cisco_21:b4:00","Cisco_fb:3d:f0","ARP","60","10.1.60.1 is at 00:1e:7a:21:b4:00"
"66","19.004913","10.1.60.203","10.1.60.187","ICMP","98","Echo (ping) request  id=0x4a95, seq=1/256, ttl=64 (reply in 67)"
"67","19.005916","10.1.60.187","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4a95, seq=1/256, ttl=255 (request in 66)"
"68","19.007910","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x4b95, seq=1/256, ttl=64 (reply in 69)"
"69","19.008665","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4b95, seq=1/256, ttl=255 (request in 68)"
"70","19.029398","10.1.60.203","10.1.60.73","ICMP","98","Echo (ping) request  id=0x5395, seq=1/256, ttl=64 (reply in 71)"
"71","19.030277","10.1.60.73","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5395, seq=1/256, ttl=255 (request in 70)"
"72","19.043015","10.1.60.203","10.1.60.25","ICMP","98","Echo (ping) request  id=0x5795, seq=1/256, ttl=64 (reply in 73)"
"73","19.043769","10.1.60.25","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5795, seq=1/256, ttl=255 (request in 72)"
"74","20.006961","10.1.60.203","10.1.60.187","ICMP","98","Echo (ping) request  id=0x4a95, seq=2/512, ttl=64 (reply in 75)"
"75","20.007840","10.1.60.187","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4a95, seq=2/512, ttl=255 (request in 74)"
"76","20.008333","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x4b95, seq=2/512, ttl=64 (reply in 77)"
"77","20.009088","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4b95, seq=2/512, ttl=255 (request in 76)"
"78","20.030321","10.1.60.203","10.1.60.73","ICMP","98","Echo (ping) request  id=0x5395, seq=2/512, ttl=64 (reply in 79)"
"79","20.031200","10.1.60.73","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5395, seq=2/512, ttl=255 (request in 78)"
"80","20.044938","10.1.60.203","10.1.60.25","ICMP","98","Echo (ping) request  id=0x5795, seq=2/512, ttl=64 (reply in 81)"
"81","20.045817","10.1.60.25","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5795, seq=2/512, ttl=255 (request in 80)"
"82","21.008890","10.1.60.203","10.1.60.187","ICMP","98","Echo (ping) request  id=0x4a95, seq=3/768, ttl=64 (reply in 83)"
"83","21.009763","10.1.60.187","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4a95, seq=3/768, ttl=255 (request in 82)"
"84","21.010256","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x4b95, seq=3/768, ttl=64 (reply in 85)"
"85","21.011136","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4b95, seq=3/768, ttl=255 (request in 84)"
"86","21.032244","10.1.60.203","10.1.60.73","ICMP","98","Echo (ping) request  id=0x5395, seq=3/768, ttl=64 (reply in 87)"
"87","21.032998","10.1.60.73","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5395, seq=3/768, ttl=255 (request in 86)"
"88","21.042988","10.1.60.203","10.1.60.25","TCP","74","[TCP Retransmission] 60515  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297037278 TSecr=0"
"89","21.046985","10.1.60.203","10.1.60.25","ICMP","98","Echo (ping) request  id=0x5795, seq=3/768, ttl=64 (reply in 90)"
"90","21.047740","10.1.60.25","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5795, seq=3/768, ttl=255 (request in 89)"
"91","21.927854","10.1.10.5","10.1.60.5","DNS","80","Standard query 0x631e SOA 60.1.10.in-addr.arpa"
"92","21.928227","10.1.10.5","10.1.60.5","DNS","72","Standard query 0x733e SOA usma.bluenet"
"93","21.930481","10.1.60.5","10.1.10.5","DNS","134","Standard query response 0x631e SOA 60.1.10.in-addr.arpa SOA usma.bluenet"
"94","21.931231","10.1.60.5","10.1.10.5","DNS","118","Standard query response 0x733e SOA usma.bluenet SOA ns1.usma.bluenet"
"95","21.955962","10.1.10.5","10.1.60.5","TCP","62","3507  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"96","21.956966","10.1.60.5","10.1.10.5","TCP","60","53  >  3507 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"97","21.957711","10.1.10.5","10.1.60.5","TCP","62","3508  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"98","21.958590","10.1.60.5","10.1.10.5","TCP","60","53  >  3508 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"99","22.011680","10.1.60.203","10.1.60.187","ICMP","98","Echo (ping) request  id=0x4a95, seq=4/1024, ttl=64 (reply in 100)"
"100","22.012559","10.1.60.187","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4a95, seq=4/1024, ttl=255 (request in 99)"
"101","22.012929","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x4b95, seq=4/1024, ttl=64 (reply in 102)"
"102","22.013808","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x4b95, seq=4/1024, ttl=255 (request in 101)"
"103","22.033292","10.1.60.203","10.1.60.73","ICMP","98","Echo (ping) request  id=0x5395, seq=4/1024, ttl=64 (reply in 104)"
"104","22.034047","10.1.60.73","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5395, seq=4/1024, ttl=255 (request in 103)"
"105","22.047909","10.1.60.203","10.1.60.25","ICMP","98","Echo (ping) request  id=0x5795, seq=4/1024, ttl=64 (reply in 106)"
"106","22.048663","10.1.60.25","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5795, seq=4/1024, ttl=255 (request in 105)"
"107","22.597093","10.1.10.5","10.1.60.5","TCP","62","[TCP Spurious Retransmission] 3507  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"108","22.597716","10.1.10.5","10.1.60.5","TCP","62","[TCP Spurious Retransmission] 3508  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"109","22.598347","10.1.60.5","10.1.10.5","TCP","60","53  >  3507 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"110","22.598971","10.1.60.5","10.1.10.5","TCP","60","53  >  3508 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"111","23.144778","10.1.10.5","10.1.60.5","TCP","62","[TCP Spurious Retransmission] 3507  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"112","23.144901","10.1.10.5","10.1.60.5","TCP","62","[TCP Spurious Retransmission] 3508  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1160 SACK_PERM=1"
"113","23.145906","10.1.60.5","10.1.10.5","TCP","60","53  >  3507 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"114","23.146405","10.1.60.5","10.1.10.5","TCP","60","53  >  3508 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"115","24.246019","10.1.60.203","10.1.60.25","TCP","74","[TCP Retransmission] 60515  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=297040478 TSecr=0"
"116","27.448050","10.1.60.203","10.1.60.25","TCP","62","[TCP Retransmission] 60515  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"117","27.835325","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x5d95, seq=0/0, ttl=64 (reply in 118)"
"118","27.836204","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5d95, seq=0/0, ttl=255 (request in 117)"
"119","28.836874","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x5d95, seq=1/256, ttl=64 (reply in 120)"
"120","28.837752","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5d95, seq=1/256, ttl=255 (request in 119)"
"121","29.838672","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0x5d95, seq=2/512, ttl=64 (reply in 122)"
"122","29.839675","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0x5d95, seq=2/512, ttl=255 (request in 121)"
"123","43.661852","Cisco_8d:d3:97","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/23  "
"124","43.662212","Cisco_8d:d3:97","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/23  "
"125","43.662460","Cisco_8d:d3:97","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/23  "
"126","43.663093","Cisco_21:b4:00","CDP/VTP/DTP/PAgP/UDLD","CDP","374","Device ID: cdx-rtr-usma.usma.fornet.cdx  Port ID: FastEthernet0/0  "
"127","44.660269","Cisco_21:b4:00","CDP/VTP/DTP/PAgP/UDLD","CDP","374","Device ID: cdx-rtr-usma.usma.fornet.cdx  Port ID: FastEthernet0/0  "
"128","45.955141","10.1.60.253","10.1.10.5","DNS","78","Standard query 0x9a20 A jabber.nps.bluenet"
"129","45.982756","Cisco_21:b4:00","Broadcast","ARP","60","Who has 10.1.60.253? Tell 10.1.60.1"
"130","45.982997","Vmware_95:9c:a0","Cisco_21:b4:00","ARP","60","10.1.60.253 is at 00:0c:29:95:9c:a0"
"131","47.744242","Cisco_21:b4:00","Broadcast","ARP","60","Who has 10.1.60.5? Tell 10.1.60.1"
"132","47.744859","Cisco_fb:3d:f0","Cisco_21:b4:00","ARP","60","10.1.60.5 is at 00:1a:6c:fb:3d:f0"
"133","55.964754","10.1.60.253","10.1.10.5","DNS","78","Standard query 0x9a21 A jabber.nps.bluenet"
"134","55.990368","10.1.10.5","10.1.60.253","DNS","94","Standard query response 0x9a21 A jabber.nps.bluenet A 10.1.90.5"
"135","55.999606","10.1.60.253","10.1.10.5","DNS","78","Standard query 0x6851 A jabber.nps.bluenet"
"136","56.025222","10.1.10.5","10.1.60.253","DNS","94","Standard query response 0x6851 A jabber.nps.bluenet A 10.1.90.5"
"137","56.025966","10.1.60.253","10.1.90.5","ICMP","98","Echo (ping) request  id=0x04d5, seq=0/0, ttl=64 (no response found!)"
"138","66.023088","10.1.60.253","10.1.10.5","DNS","77","Standard query 0xf569 A www.usafa.bluenet"
"139","66.048328","10.1.10.5","10.1.60.253","DNS","113","Standard query response 0xf569 A www.usafa.bluenet CNAME nixon.usafa.bluenet A 10.1.20.4"
"140","66.049071","10.1.60.253","10.1.10.5","DNS","77","Standard query 0xf56a A www.usafa.bluenet"
"141","66.075062","10.1.10.5","10.1.60.253","DNS","113","Standard query response 0xf56a A www.usafa.bluenet CNAME nixon.usafa.bluenet A 10.1.20.4"
"142","66.083677","10.1.60.253","10.1.10.5","DNS","77","Standard query 0x90f6 A www.usafa.bluenet"
"143","66.109292","10.1.10.5","10.1.60.253","DNS","113","Standard query response 0x90f6 A www.usafa.bluenet CNAME nixon.usafa.bluenet A 10.1.20.4"
"144","66.110161","10.1.60.253","10.1.20.4","ICMP","98","Echo (ping) request  id=0x08d5, seq=0/0, ttl=64 (reply in 145)"
"145","66.212357","10.1.20.4","10.1.60.253","ICMP","98","Echo (ping) reply    id=0x08d5, seq=0/0, ttl=61 (request in 144)"
"146","66.240586","10.1.60.253","10.1.10.5","DNS","75","Standard query 0x3dfc A www.nps.bluenet"
"147","66.265702","10.1.10.5","10.1.60.253","DNS","91","Standard query response 0x3dfc A www.nps.bluenet A 10.1.90.5"
"148","66.266446","10.1.60.253","10.1.10.5","DNS","75","Standard query 0x3dfd A www.nps.bluenet"
"149","66.291562","10.1.10.5","10.1.60.253","DNS","91","Standard query response 0x3dfd A www.nps.bluenet A 10.1.90.5"
"150","66.300927","10.1.60.253","10.1.10.5","DNS","75","Standard query 0xc0db A www.nps.bluenet"
"151","66.326292","10.1.10.5","10.1.60.253","DNS","91","Standard query response 0xc0db A www.nps.bluenet A 10.1.90.5"
"152","66.327036","10.1.60.253","10.1.90.5","ICMP","98","Echo (ping) request  id=0x0cd5, seq=0/0, ttl=64 (no response found!)"
"153","70.407444","Cisco_8d:d3:97","CDP/VTP/DTP/PAgP/UDLD","CDP","376","Device ID: Switch  Port ID: GigabitEthernet0/23  "
"154","75.996982","10.1.60.253","10.1.10.5","NTP","90","NTP Version 4, client"
"155","76.022588","10.1.10.5","10.1.60.253","NTP","90","NTP Version 3, server"
"156","87.266871","10.1.60.187","10.1.60.203","TCP","62","80  >  49739 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"157","87.267237","10.1.60.203","10.1.60.187","TCP","60","49739  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"158","87.267612","10.1.60.203","10.1.60.187","HTTP","169","GET / HTTP/1.0 "
"159","87.268366","10.1.60.187","10.1.60.203","TCP","60","80  >  49739 [ACK] Seq=1 Ack=116 Win=5840 Len=0"
"160","87.269491","10.1.60.187","10.1.60.203","HTTP","460","HTTP/1.1 302 Found  (text/html)"
"161","87.269616","10.1.60.187","10.1.60.203","TCP","60","80  >  49739 [FIN, ACK] Seq=407 Ack=116 Win=5840 Len=0"
"162","87.269736","10.1.60.203","10.1.60.187","TCP","60","49739  >  80 [ACK] Seq=116 Ack=408 Win=65294 Len=0"
"163","87.269860","10.1.60.203","10.1.60.187","TCP","60","49739  >  80 [FIN, ACK] Seq=116 Ack=408 Win=65535 Len=0"
"164","87.270490","10.1.60.187","10.1.60.203","TCP","60","80  >  49739 [ACK] Seq=408 Ack=117 Win=5840 Len=0"
"165","87.271735","10.1.60.203","10.1.60.73","TCP","62","51898  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"166","87.272864","10.1.60.73","10.1.60.203","TCP","62","5222  >  51898 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"167","87.272984","10.1.60.203","10.1.60.73","TCP","60","51898  >  5222 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"168","87.273233","10.1.60.203","10.1.60.73","XMPP/XML","150","STREAM > host "
"169","87.280235","10.1.60.73","10.1.60.203","XMPP/XML","232","STREAM < jabber.usma.bluenet "
"170","87.280604","10.1.60.203","10.1.60.73","XMPP/XML","71","STREAM END"
"171","87.280729","10.1.60.203","10.1.60.73","TCP","60","51898  >  5222 [FIN, ACK] Seq=114 Ack=179 Win=65535 Len=0"
"172","87.281484","10.1.60.73","10.1.60.203","TCP","60","5222  >  51898 [ACK] Seq=179 Ack=115 Win=65535 Len=0"
"173","87.281858","10.1.60.73","10.1.60.203","TCP","60","5222  >  51898 [FIN, ACK] Seq=179 Ack=115 Win=65535 Len=0"
"174","87.282353","10.1.60.203","10.1.60.73","TCP","60","51898  >  5222 [ACK] Seq=115 Ack=180 Win=65534 Len=0"
"175","87.290224","10.1.60.203","10.1.60.187","TCP","62","58596  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"176","87.290978","10.1.60.187","10.1.60.203","TCP","62","443  >  58596 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1"
"177","87.291348","10.1.60.203","10.1.60.187","TCP","60","58596  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"178","87.294971","10.1.60.203","10.1.60.187","SSLv2","190","Client Hello"
"179","87.295726","10.1.60.187","10.1.60.203","TCP","60","443  >  58596 [ACK] Seq=1 Ack=137 Win=6432 Len=0"
"180","87.306719","10.1.60.187","10.1.60.203","TLSv1","1514","Server Hello, Certificate"
"181","87.306844","10.1.60.187","10.1.60.203","TLSv1","139","Server Key Exchange, Server Hello Done"
"182","87.307839","10.1.60.203","10.1.60.187","TCP","60","58596  >  443 [ACK] Seq=137 Ack=1546 Win=65289 Len=0"
"183","87.324580","10.1.60.203","10.1.60.187","TLSv1","252","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"184","87.331455","10.1.60.187","10.1.60.203","TLSv1","113","Change Cipher Spec, Encrypted Handshake Message"
"185","87.332199","10.1.60.203","10.1.60.187","TLSv1","240","Application Data, Application Data"
"186","87.335198","10.1.60.203","10.1.60.25","TCP","62","51727  >  25 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1"
"187","87.336453","10.1.60.187","10.1.60.203","TLSv1","1514","Application Data, Application Data"
"188","87.336952","10.1.60.187","10.1.60.203","TLSv1","587","Application Data, Application Data, Application Data"
"189","87.337077","10.1.60.187","10.1.60.203","TLSv1","91","Encrypted Alert"
"190","87.337080","10.1.60.187","10.1.60.203","TCP","60","443  >  58596 [FIN, ACK] Seq=3635 Ack=521 Win=8576 Len=0"
"191","87.337196","10.1.60.203","10.1.60.187","TCP","60","58596  >  443 [ACK] Seq=521 Ack=3598 Win=65167 Len=0"
"192","87.337321","10.1.60.203","10.1.60.187","TCP","60","58596  >  443 [ACK] Seq=521 Ack=3636 Win=65535 Len=0"
"193","87.337324","10.1.60.203","10.1.60.187","TLSv1","91","Encrypted Alert"
"194","87.337571","10.1.60.203","10.1.60.187","TCP","60","58596  >  443 [FIN, ACK] Seq=558 Ack=3636 Win=65535 Len=0"
"195","87.338076","10.1.60.187","10.1.60.203","TCP","60","443  >  58596 [ACK] Seq=3636 Ack=559 Win=8576 Len=0"
"196","87.973582","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0xa395, seq=0/0, ttl=64 (reply in 197)"
"197","87.974461","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0xa395, seq=0/0, ttl=255 (request in 196)"
"198","88.975880","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0xa395, seq=1/256, ttl=64 (reply in 199)"
"199","88.976883","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0xa395, seq=1/256, ttl=255 (request in 198)"
"200","89.977804","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0xa395, seq=2/512, ttl=64 (reply in 201)"
"201","89.978682","10.1.60.5","10.1.60.203","ICMP","98","Echo (ping) reply    id=0xa395, seq=2/512, ttl=255 (request in 200)"
"202","90.979728","10.1.60.203","10.1.60.5","ICMP","98","Echo (ping) request  id=0xa395, seq=3/768, ttl=64 (reply in 203)"
